age_group,sex,educ,province,n
45-54,Male,HS Diploma or equivalent,British Columbia,2222
45-54,Male,HS Diploma or equivalent,Manitoba,603
45-54,Male,HS Diploma or equivalent,New Brunswick,390
45-54,Male,HS Diploma or equivalent,Newfoundland and Labrador,219
45-54,Male,HS Diploma or equivalent,Northern Canada,35
45-54,Male,HS Diploma or equivalent,Nova Scotia,398
45-54,Male,HS Diploma or equivalent,Ontario,6511
45-54,Male,HS Diploma or equivalent,Prince Edward Island,64
45-54,Male,HS Diploma or equivalent,Quebec,2731
45-54,Male,HS Diploma or equivalent,Saskatchewan,547
45-54,Male,"No certificate, diploma or degree",Alberta,912
45-54,Male,"No certificate, diploma or degree",British Columbia,990
45-54,Male,"No certificate, diploma or degree",Manitoba,388
45-54,Male,"No certificate, diploma or degree",New Brunswick,259
45-54,Male,"No certificate, diploma or degree",Newfoundland and Labrador,183
45-54,Male,"No certificate, diploma or degree",Northern Canada,51
45-54,Male,"No certificate, diploma or degree",Nova Scotia,258
45-54,Male,"No certificate, diploma or degree",Ontario,2975
45-54,Male,"No certificate, diploma or degree",Prince Edward Island,53
45-54,Male,"No certificate, diploma or degree",Quebec,2286
45-54,Male,"No certificate, diploma or degree",Saskatchewan,303
45-54,Male,Non-university degree,Alberta,2780
45-54,Male,Non-university degree,British Columbia,2960
45-54,Male,Non-university degree,Manitoba,688
45-54,Male,Non-university degree,New Brunswick,513
45-54,Male,Non-university degree,Newfoundland and Labrador,482
45-54,Male,Non-university degree,Northern Canada,65
45-54,Male,Non-university degree,Nova Scotia,677
45-54,Male,Non-university degree,Ontario,8465
45-54,Male,Non-university degree,Prince Edward Island,94
45-54,Male,Non-university degree,Quebec,6719
45-54,Male,Non-university degree,Saskatchewan,607
55-64,Female,Bachelor's degree,Alberta,926
55-64,Female,Bachelor's degree,British Columbia,1203
55-64,Female,Bachelor's degree,Manitoba,253
55-64,Female,Bachelor's degree,New Brunswick,148
55-64,Female,Bachelor's degree,Newfoundland and Labrador,88
55-64,Female,Bachelor's degree,Northern Canada,19
55-64,Female,Bachelor's degree,Nova Scotia,244
55-64,Female,Bachelor's degree,Ontario,3568
55-64,Female,Bachelor's degree,Prince Edward Island,37
55-64,Female,Bachelor's degree,Quebec,1747
55-64,Female,Bachelor's degree,Saskatchewan,222
55-64,Female,Degree above Bachelor's,Alberta,384
55-64,Female,Degree above Bachelor's,British Columbia,718
55-64,Female,Degree above Bachelor's,Manitoba,102
55-64,Female,Degree above Bachelor's,New Brunswick,59
55-64,Female,Degree above Bachelor's,Newfoundland and Labrador,52
55-64,Female,Degree above Bachelor's,Northern Canada,7
55-64,Female,Degree above Bachelor's,Nova Scotia,125
55-64,Female,Degree above Bachelor's,Ontario,1787
55-64,Female,Degree above Bachelor's,Prince Edward Island,11
55-64,Female,Degree above Bachelor's,Quebec,881
55-64,Female,Degree above Bachelor's,Saskatchewan,76
55-64,Female,HS Diploma or equivalent,Alberta,2226
55-64,Female,HS Diploma or equivalent,British Columbia,3023
55-64,Female,HS Diploma or equivalent,Manitoba,683
55-64,Female,HS Diploma or equivalent,New Brunswick,561
55-64,Female,HS Diploma or equivalent,Newfoundland and Labrador,335
55-64,Female,HS Diploma or equivalent,Northern Canada,26
55-64,Female,HS Diploma or equivalent,Nova Scotia,531
55-64,Female,HS Diploma or equivalent,Ontario,8020
55-64,Female,HS Diploma or equivalent,Prince Edward Island,78
55-64,Female,HS Diploma or equivalent,Quebec,4704
55-64,Female,HS Diploma or equivalent,Saskatchewan,633
55-64,Female,"No certificate, diploma or degree",Alberta,848
55-64,Female,"No certificate, diploma or degree",British Columbia,1133
55-64,Female,"No certificate, diploma or degree",Manitoba,345
55-64,Female,"No certificate, diploma or degree",New Brunswick,294
55-64,Female,"No certificate, diploma or degree",Newfoundland and Labrador,247
55-64,Female,"No certificate, diploma or degree",Northern Canada,29
55-64,Female,"No certificate, diploma or degree",Nova Scotia,336
55-64,Female,"No certificate, diploma or degree",Ontario,3620
55-64,Female,"No certificate, diploma or degree",Prince Edward Island,39
55-64,Female,"No certificate, diploma or degree",Quebec,2808
55-64,Female,"No certificate, diploma or degree",Saskatchewan,231
55-64,Female,Non-university degree,Alberta,2203
55-64,Female,Non-university degree,British Columbia,3097
55-64,Female,Non-university degree,Manitoba,689
55-64,Female,Non-university degree,New Brunswick,493
55-64,Female,Non-university degree,Newfoundland and Labrador,387
55-64,Female,Non-university degree,Northern Canada,33
55-64,Female,Non-university degree,Nova Scotia,766
55-64,Female,Non-university degree,Ontario,7976
55-64,Female,Non-university degree,Prince Edward Island,121
55-64,Female,Non-university degree,Quebec,5890
55-64,Female,Non-university degree,Saskatchewan,655
55-64,Male,Bachelor's degree,Alberta,935
55-64,Male,Bachelor's degree,British Columbia,1112
55-64,Male,Bachelor's degree,Manitoba,225
55-64,Male,Bachelor's degree,New Brunswick,124
55-64,Male,Bachelor's degree,Newfoundland and Labrador,73
55-64,Male,Bachelor's degree,Northern Canada,19
55-64,Male,Bachelor's degree,Nova Scotia,189
55-64,Male,Bachelor's degree,Ontario,3470
55-64,Male,Bachelor's degree,Prince Edward Island,28
55-64,Male,Bachelor's degree,Quebec,1724
55-64,Male,Bachelor's degree,Saskatchewan,158
55-64,Male,Degree above Bachelor's,Alberta,469
55-64,Male,Degree above Bachelor's,British Columbia,769
55-64,Male,Degree above Bachelor's,Manitoba,133
55-64,Male,Degree above Bachelor's,New Brunswick,69
55-64,Male,Degree above Bachelor's,Newfoundland and Labrador,55
55-64,Male,Degree above Bachelor's,Northern Canada,9
55-64,Male,Degree above Bachelor's,Nova Scotia,113
55-64,Male,Degree above Bachelor's,Ontario,2117
55-64,Male,Degree above Bachelor's,Prince Edward Island,12
55-64,Male,Degree above Bachelor's,Quebec,1035
55-64,Male,Degree above Bachelor's,Saskatchewan,70
55-64,Male,HS Diploma or equivalent,Alberta,1503
55-64,Male,HS Diploma or equivalent,British Columbia,2247
55-64,Male,HS Diploma or equivalent,Manitoba,584
55-64,Male,HS Diploma or equivalent,New Brunswick,411
55-64,Male,HS Diploma or equivalent,Newfoundland and Labrador,244
55-64,Male,HS Diploma or equivalent,Northern Canada,25
55-64,Male,HS Diploma or equivalent,Nova Scotia,411
55-64,Male,HS Diploma or equivalent,Ontario,6152
